technology,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
Hard coal,44.84,39.56,125.42,271.38,116.61,94.72,111.77,116.67,,,,,,,,,,53.96,35.76,136.23,175.33,94.37,67.96,76.06,71.12,,,,,,,,,,55.26,44.04,108.45,,,,,,,,,,,,,,,55.74,48.03,146.63,284.0,143.68,94.57,112.85,107.62,,,,,,,,,,55.44,40.98,143.46,310.75,138.19,108.8,118.05,133.42,,,,,,,,,
Solar,34.91,24.51,75.46,222.27,72.18,46.23,46.06,50.3,,,,,,,,,,48.58,32.9,102.4,150.89,72.79,42.41,36.18,27.47,,,,,,,,,,48.76,33.23,107.49,150.95,73.02,42.71,35.34,26.34,,,,,,,,,,37.76,29.86,94.29,291.5,83.6,39.25,36.07,32.62,,,,,,,,,,50.68,34.6,108.88,307.6,110.89,96.45,96.14,105.19,,,,,,,,,
Onshore wind,32.32,24.58,80.74,168.32,78.59,64.55,77.36,87.95,,,,,,,,,,45.65,32.38,103.8,160.52,76.21,55.48,63.19,50.46,,,,,,,,,,45.04,32.29,110.18,158.58,76.73,55.24,60.66,44.26,,,,,,,,,,37.32,30.15,102.55,234.04,86.33,52.26,54.76,60.47,,,,,,,,,,51.75,37.52,127.25,284.77,126.59,103.66,113.87,126.31,,,,,,,,,
Hydro run-of-river,37.58,30.32,90.37,236.51,93.64,78.14,90.28,100.08,,,,,,,,,,47.44,32.93,96.9,172.01,85.06,59.47,65.98,54.36,,,,,,,,,,48.39,36.32,86.13,175.38,93.8,62.62,76.55,63.63,,,,,,,,,,40.12,31.63,99.59,262.62,98.46,58.56,67.4,67.35,,,,,,,,,,53.38,39.91,121.09,324.06,125.56,110.93,116.49,133.04,,,,,,,,,
Hydro reservoir,42.08,36.13,107.68,282.91,110.98,100.84,113.85,130.92,,,,,,,,,,48.45,37.11,99.5,184.34,93.02,65.7,78.72,64.88,,,,,,,,,,48.3,39.13,105.03,154.94,90.07,61.45,83.17,68.91,,,,,,,,,,44.85,34.92,106.73,313.06,110.98,69.12,84.57,84.52,,,,,,,,,,55.82,43.03,121.57,352.7,131.42,115.39,125.77,144.27,,,,,,,,,
Hydro pumped (production),46.73,30.4,124.44,299.18,125.61,113.59,129.99,148.42,,,,,,,,,,,,,88.63,106.68,80.42,92.65,88.18,,,,,,,,,,49.73,39.11,121.18,183.51,100.24,77.13,94.19,77.7,,,,,,,,,,49.86,41.24,144.66,331.95,125.18,86.2,89.12,97.78,,,,,,,,,,61.25,49.91,146.22,378.12,143.24,124.6,137.12,157.92,,,,,,,,,
Biomass,37.84,30.56,97.83,235.63,97.05,80.48,92.85,101.98,,,,,,,,,,47.85,34.5,116.58,172.84,93.44,65.58,68.34,59.62,,,,,,,,,,47.31,34.1,112.15,170.32,88.72,62.04,66.59,54.68,,,,,,,,,,39.19,32.28,109.24,269.74,97.94,57.96,63.75,62.79,,,,,,,,,,52.0,38.92,126.26,305.59,128.91,108.41,114.68,130.59,,,,,,,,,
Gas,41.61,35.57,107.5,256.94,109.82,94.95,110.4,114.8,,,,,,,,,,49.2,36.75,134.03,174.4,101.62,83.84,80.74,74.72,,,,,,,,,,50.05,38.48,128.43,179.0,108.89,82.02,72.58,53.21,,,,,,,,,,45.32,38.16,134.83,288.0,120.81,82.68,96.06,97.65,,,,,,,,,,55.42,42.9,140.18,324.08,135.86,119.06,126.48,140.68,,,,,,,,,
Oil & other fossil,38.14,31.03,96.1,239.24,95.52,79.97,92.83,101.35,,,,,,,,,,48.97,34.52,118.35,184.88,98.77,67.05,75.05,64.13,,,,,,,,,,,,,,,,,,,,,,,,,,,42.48,34.47,124.4,298.69,107.31,62.12,75.65,91.72,,,,,,,,,,53.86,43.4,157.06,328.36,151.26,123.68,114.44,138.31,,,,,,,,,
Waste,37.69,30.78,98.8,234.56,95.3,78.86,90.36,100.24,,,,,,,,,,47.98,34.56,111.82,173.09,89.64,65.81,69.23,59.49,,,,,,,,,,,,,,,,,,,,,,,,,,,40.06,32.75,109.63,272.62,98.88,60.82,60.13,64.75,,,,,,,,,,52.58,39.21,121.08,309.35,118.82,108.03,114.01,131.59,,,,,,,,,
Geothermal,37.84,30.58,101.46,226.5,96.69,80.17,92.87,100.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.33,38.85,125.18,302.7,127.24,105.74,112.28,128.55,,,,,,,,,
Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other renewable,38.27,31.14,100.86,230.38,99.06,79.21,90.86,99.23,,,,,,,,,,47.98,34.18,113.22,171.89,88.45,64.22,68.15,56.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7,143.75,,,,,,,,,,
Other,38.77,31.76,100.24,234.45,100.19,83.43,95.78,103.44,,,,,,,,,,48.21,34.1,111.9,166.4,89.56,75.23,67.69,63.78,,,,,,,,,,49.31,34.14,109.94,167.58,90.5,63.72,68.38,53.96,,,,,,,,,,,,,,,,55.34,84.97,,,,,,,,,,54.18,40.69,129.37,310.56,133.17,111.87,119.46,132.94,,,,,,,,,
